Date,Price,Open,High,Low,Vol.,Change %
07/24/2023,1850.04,1888.85,1890.78,1835.14,297.13K,-2.05%
07/23/2023,1888.85,1866.26,1903.95,1858.12,164.31K,1.21%
07/22/2023,1866.25,1891.75,1897.03,1854.09,143.13K,-1.35%
07/21/2023,1891.75,1891.68,1905.57,1884.95,176.39K,0.03%
07/20/2023,1891.23,1888.64,1928.36,1879.39,321.92K,0.14%
07/19/2023,1888.65,1897.58,1920.48,1882.18,244.92K,-0.47%
07/18/2023,1897.58,1911.24,1917.21,1877.52,233.00K,-0.71%
07/17/2023,1911.24,1922.45,1935.99,1876,293.54K,-0.58%
07/16/2023,1922.45,1931.43,1942.55,1918.01,158.59K,-0.46%
07/15/2023,1931.42,1938.05,1946.1,1926.83,145.89K,-0.34%
07/14/2023,1938.05,2004.77,2025.56,1900.22,530.86K,-3.33%
07/13/2023,2004.77,1871.86,2010.75,1863.22,588.53K,7.10%
07-12-2023,1871.86,1878.33,1901.45,1865.11,280.91K,-0.34%
07-11-2023,1878.33,1880.42,1889.83,1863.93,191.47K,-0.11%
07-10-2023,1880.42,1862.91,1903.82,1846.71,264.83K,0.94%
07-09-2023,1862.91,1865.28,1878.22,1856.97,145.47K,-0.13%
07-08-2023,1865.28,1870.92,1873.16,1843.82,136.69K,-0.30%
07-07-2023,1870.92,1848.29,1877.51,1827.35,249.82K,1.22%
07-06-2023,1848.36,1910.43,1957.58,1847.01,483.00K,-3.25%
07-05-2023,1910.43,1936.21,1942.15,1896.43,284.34K,-1.33%
07-04-2023,1936.19,1955.56,1966.03,1931.64,226.10K,-0.99%
07-03-2023,1955.56,1937.57,1974.61,1934.51,346.33K,0.93%
07-02-2023,1937.57,1924.53,1958.36,1893.68,283.61K,0.68%
07-01-2023,1924.53,1933.8,1943.2,1909.92,189.41K,-0.48%
06/30/2023,1933.8,1851.92,1943.65,1837.49,765.42K,4.42%
06/29/2023,1851.92,1827.95,1878.86,1827.95,256.22K,1.31%
06/28/2023,1827.95,1889.51,1890.11,1821.94,356.71K,-3.26%
06/27/2023,1889.51,1859,1911.73,1856.19,386.05K,1.64%
06/26/2023,1859,1898.8,1906.07,1840.63,479.76K,-2.10%
06/25/2023,1898.8,1875,1929.61,1869.28,356.99K,1.27%
